# ----------------------- ;
# 7D1N - v0.0.0.2         ;
# Проливка русского языка ;
# ----------------------- ;

CREATE TABLE `i18n_ru_ru` (
	`id`	INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT UNIQUE,
	`key`	TEXT NOT NULL,
	`value`	TEXT NOT NULL
);

INSERT INTO `i18n_lang`(`id`,`code`,`name`) VALUES (0, 'ru_ru', 'Русский');

property "lang", "i18n_ru_ru";

# ----------------------- ;

# Навыки ;

    message_object "skill/scrap_difficulty_1", "Сложность разбора", "+1 к сложности разбора, позволяет разбирать более сложные объекты";
    message_object "skill/scrap_difficulty_2", "Сложность разбора", "+1 к сложности разбора, позволяет разбирать более сложные объекты";
    message_object "skill/scrap_difficulty_3", "Сложность разбора", "+1 к сложности разбора, позволяет разбирать более сложные объекты";
    message_object "skill/scrap_difficulty_4", "Сложность разбора", "+1 к сложности разбора, позволяет разбирать более сложные объекты";

# Ресурсы ;

    message_object "res/wood", "Дерево", "Фрагменты необработанной древесины";
    message_object "res/scrap", "Металлолом", "Фрагменты необработанных металлических деталей";
    message_object "res/iron", "Железо", "Очищенное от примисей железо";
    message_object "res/lead", "Свинец", "Очищенный от примисей свинец";
    message_object "res/cooper", "Медь", "Очищенная от примисей медь";
    message_object "res/aluminum", "Алюминий", "Очищенный от примесей алюминий";
    message_object "res/silver", "Серебро", "Очищенное от примесей серебро";
    message_object "res/gold", "Золото", "Очищенное от примесей золото";
    message_object "res/titanium", "Титан", "Очищенный от примесей титан";
    message_object "res/plastic", "Пластик", "Фрагменты необработанного пластика";
    message_object "res/paper", "Бумага", "Фрагменты необработанной бумаги";
    message_object "res/electric", "Электроматериалы", "Транзисторы, резисторы, конденсаторы, диоды";
    message_object "res/stone", "Камень", "Куски необработанных камней";
    message_object "res/salt", "Соль", "Химическая соль";
    message_object "res/coal", "Уголь", "Куски каменного угля";
    message_object "res/water", "Чистая вода", "Капли чистой воды, собранные в ёмкость";
    message_object "res/acid", "Чистая кислота", "Капли чистой кислоты, собранные в ёмкость";
    message_object "res/lye", "Чистая щёлочь", "Капли чистой щёлочи, собранные в ёмкость";
    message_object "res/fuel", "Топливо", "Капли топлива, собранные в ёмкость";
    message_object "res/fiber", "Волокно", "Тканевое волокно из кусочков ткани";
    message_object "res/rubber", "Резина", "Фрагменты резины";
    message_object "res/powder", "Порох", "Щепотка пороха";
    message_object "res/explosive", "Взрывчатка", "Слепленные комки взрывчатки";
    message_object "res/ceramics", "Керамика", "Кусочки керамики";
    message_object "res/sand", "Песок", "Чистый песок, ничего лишнего";
    message_object "res/brimstone", "Сера", "Чистая сера";
    message_object "res/saltpetre", "Селитра", "Гранулированная селитра";
    message_object "res/dirty_water", "Грязная вода", "Эта вода заражена, лучше её не пить";
    message_object "res/raw_iron", "Железная руда", "Богатая железом порода";
    message_object "res/raw_lead", "Свинцовая руда", "Богатая свинцом порода";
    message_object "res/raw_cooper", "Медная руда", "Богатая медью порода";
    message_object "res/raw_aluminum", "Алюминиевая руда", "Богатая алюминием порода";
    message_object "res/raw_silver", "Серебрянная руда", "Богатая серебром порода";
    message_object "res/raw_gold", "Золотая руда", "Богатая золотом порода";
    message_object "res/raw_titanium", "Титановая руда", "Богатая титаном порода";

# Объекты ;

    # Кухня ;

	    message_object "sink_1", "Раковина", "Старая раковина, в ней мыли посуду и использовали в хозяйстве. Есть мнение что раковина гораздо лучше писуара";
	    message_object "counter_corner_1", "Угловая столешница", "Часть кухни, в ней есть металлические детали";
	    message_object "counter_empty_1", "Пустая столешница", "Часть кухни, в ней только дерево";
	    message_object "counter_shelf_1", "Столешница с полками", "Часть кухни, в ней только дерево";
	    message_object "counter_washing_1", "Столешница с посудомойкой", "Часть кухни, в ней есть электроника";
	    message_object "fridge_1", "Холодильник", "Охлаждает продукты для хранения, в нём должны быть электронные части";
	    message_object "oven_1", "Электроплитка", "Разогревает пищу, в ней куча металла, так же упоминается в некоторых самоучителях для использования в качестве оружия пыток";
	    message_object "kitchen_table_1", "Кухонный стол", "За таким столом люди собираются вместе чтобы поесть в компании, он из дерева, так же как и стул, при повороте, образует четыре сидячих места";
	    message_object "kitchen_chair_1", "Кухонный стул", "На этом стуле сидят за столом, он деревянный, если перевернуть - места хватит на четверых";
	    message_object "toaster_1", "Тостер", "Он умеет поджаривать ломтики хлеба или батона, особо ушлые могут пожарить в нём яичницу или даже вскипятить чай";
	    message_object "microwave_1", "Микроволновка", "Разогревает пищу. Производители не рекомендуют использовать с металлическими предметами, а так же сушить в ней домашних животных. К сожалению она слишком мала чтобы использовать её для тоталного уничтожения зомбей...";
	    message_object "extractor_1", "Вытяжка", "Вытягивает дым, пар и другие продукты горения и нагревания образующиеся в процессе приготовления пищи";
	    message_object "kitchen_cabinet_1", "Настенный ящик", "Обычно в нём хранятся специи, крупы, кастрюли и прочие вещи, связанные с готовкой";
	    
